record_id,plot_id,species_code,diameter_mm_raw,tree_height_dm_raw,study_height_dm_raw,tree_age_raw,study_age_raw,age_source_code,age_reading_height_cm,survey_date_raw,study_selection_method,canopy_code_raw,ecological_region_code_raw,source_file_sha256
2000608704007,2000608704,ERR,121,144,144,,,,100,2020-08-11T00:00:00.000Z,L,I,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000610002015,2000610002,ERR,104,130,130,,,,100,2020-08-15T00:00:00.000Z,L,I,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001001804053,2001001804,ERR,398,205,205,,,,100,2020-07-07T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001104904027,2001104904,ERR,121,137,137,,,,100,2020-08-31T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2001602704001,2001602704,ERR,92,115,115,,,,100,2020-09-28T00:00:00.000Z,L,I,5b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2002302704060,2002302704,ERR,103,123,123,,,,100,2020-06-09T00:00:00.000Z,L,C,4a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2007501403017,2007501403,ERR,355,201,201,,,,100,2021-06-09T00:00:00.000Z,L,D,3c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2100705401014,2100705401,ERR,120,119,119,,,,100,2021-07-19T00:00:00.000Z,L,C,5a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2101103602024,2101103602,ERR,111,108,108,,,,100,2021-06-17T00:00:00.000Z,L,C,3c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2101201001024,2101201001,ERR,131,131,131,,,,100,2021-08-18T00:00:00.000Z,L,C,3b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2101208104019,2101208104,ERR,289,201,201,,,,100,2021-06-14T00:00:00.000Z,L,C,3b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2101401902005,2101401902,ERR,230,184,184,,,,100,2021-07-26T00:00:00.000Z,L,C,3b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2107723002011,2107723002,ERR,298,178,178,,,,100,2022-07-31T00:00:00.000Z,L,C,2c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
